read,delay,Average,Max,Min,Std. Dev,Count > 16.66,Count <= 10
584,10.79,,,,,,
585,8.06,,,,,,
586,5.44,,,,,,
587,10.53,,,,,,
588,8.25,,,,,,
589,6.03,,,,,,
590,10.15,,,,,,
591,7.96,,,,,,
592,5.44,,,,,,
593,11.47,,,,,,
594,8.38,,,,,,
595,5.92,,,,,,
596,10.29,,,,,,
597,7.83,,,,,,
598,4.88,,,,,,
599,10.52,,,,,,
600,15.34,,,,,,
601,5.26,,,,,,
602,9.5,,,,,,
603,7.26,,,,,,
604,4.7,,,,,,
605,10.36,,,,,,
606,7.48,,,,,,
607,4.5,,,,,,
608,8.96,,,,,,
609,6.64,,,,,,
610,4.24,,,,,,
611,9.34,,,,,,
612,6.64,,,,,,
613,11.26,,,,,,
614,8.86,,,,,,
615,5.67,,,,,,
616,11.62,,,,,,
617,8.62,,,,,,
618,6.32,,,,,,
619,10.63,,,,,,
620,8.24,,,,,,
621,5.22,,,,,,
622,11.19,,,,,,
623,8.44,,,,,,
624,5.88,,,,,,
625,9.95,,,,,,
626,7.48,,,,,,
627,4.54,,,,,,
628,10.02,,,,,,
629,7.57,,,,,,
630,4.61,,,,,,
631,9.21,,,,,,
632,6.01,,,,,,
633,11.98,,,,,,
634,9.56,,,,,,
635,6.41,,,,,,
636,10.7,,,,,,
637,7.58,,,,,,
638,4.57,,,,,,
639,9.82,,,,,,
640,6.95,,,,,,
641,11.39,,,,,,
642,8.57,,,,,,
643,6.35,,,,,,
644,18.54,,,,,,
645,8.53,,,,,,
646,5.48,,,,,,
647,9.6,,,,,,
648,6.79,,,,,,
649,11.88,,,,,,
650,9,,,,,,
651,5.97,,,,,,
652,10.35,,,,,,
653,8.15,,,,,,
654,5.49,,,,,,
655,10.78,,,,,,
656,7.8,,,,,,
657,5.26,,,,,,
658,10.1,,,,,,
659,7,,,,,,
660,4.4,,,,,,
661,10.3,,,,,,
662,7.66,,,,,,
663,5.36,,,,,,
664,9.89,,,,,,
665,6.99,,,,,,
666,12.16,,,,,,
667,9.95,,,,,,
668,7.57,,,,,,
669,4.66,,,,,,
670,8.71,,,,,,
671,6.3,,,,,,
672,11.38,,,,,,
673,8.92,,,,,,
674,6.18,,,,,,
675,10.44,,,,,,
676,7.56,,,,,,
677,4.54,,,,,,
678,10.22,,,,,,
679,7.5,,,,,,
680,5.18,,,,,,
681,9.49,,,,,,
